"","ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS","tblcodeid_Aphia_fn","tblcodeid_Aphia","WoRMS_AphiaID_Valid"
"243",NA,NA,107072,"Callianassa",5078,5078,107072
"244",NA,NA,137650,"Anomia",5079,5079,137650
"245",NA,NA,140771,"Zirfaea crispata",5080,5080,140771
"246",NA,NA,141587,"Tellina fabula",5086,5086,146907
"247",NA,NA,105811,"Galeus atlanticus",5095,5095,105811
"248",NA,NA,1135,"Amphipoda",5098,5098,1135
"249",NA,NA,107278,"Pirimela denticulata",5099,5099,107278
"250",NA,NA,140283,"Lucinoma borealis",5100,5100,140283
"251",NA,NA,107230,"Pagurus alatus",5101,5101,107230
"252",NA,NA,135306,"Aurelia aurita",5102,5102,135306
"253",NA,NA,137683,"Astarte",5103,5103,137683
"254",NA,NA,107199,"Diogenes pugilator",5104,5104,107199
"255",NA,NA,138474,"Abra",5105,5105,138474
"256",NA,NA,1131,"Isopoda",5107,5107,1131
"257",NA,NA,141875,"Turtonia minuta",5108,5108,141875
"258",NA,NA,293624,"Liparis liparis liparis",5110,5110,293624
"259",NA,NA,395337,"Adamsia",5112,5112,395239
"260",NA,NA,126433,"Boreogadus saida",5113,5113,126433
"261",NA,NA,158988,"Phycis chesteri",5115,5115,158988
"262",NA,NA,125523,"Carangidae",5116,5116,125523
"263",NA,NA,125736,"Pollachius",5117,5117,125736
"264",NA,NA,159459,"Aspidophoroides monopterygius",5118,5118,159459
"265",NA,NA,126088,"Lumpenus",5119,5119,126088
"266",NA,NA,127198,"Gymnocanthus tricuspis",5120,5120,127198
"267",NA,NA,126735,"Mallotus villosus",5121,5121,126735
"268",NA,NA,158669,"Alosa pseudoharengus",5122,5122,158669
"269",NA,NA,126539,"Chaunax pictus",5123,5123,126539
"270",NA,NA,159409,"Hoplostethus mediterraneus mediterraneus",5124,5124,159409
"271",NA,NA,293632,"Mullus barbatus barbatus",5125,5125,293632
"272",NA,NA,125027,"Ophiocomina nigra",5126,5126,125027
"273",NA,NA,123856,"Astropecten aranciacus",5127,5127,123856
"274",NA,NA,127233,"Peristedion cataphractum",5128,5128,127233
"275",NA,NA,139024,"Galeodea rugosa",5129,5129,139024
"276",NA,NA,127304,"Vinciguerria poweriae",5130,5130,127304
"277",NA,NA,107157,"Munida intermedia",5131,5131,107157
"278",NA,NA,236487,"Auxis rochei rochei",5132,5132,236487
"279",NA,NA,271684,"Torpedo marmorata",5133,5133,271684
"280",NA,NA,136137,"Squilla mantis",5134,5134,136137
"281",NA,NA,119930,"Gnathophausia zoea",5135,5135,119930
"282",96971,"Pandalus montagui",107651,"Pandalus montagui",4686,4686,107651
"283",167316,"Myoxocephalus quadricornis",254529,"Myoxocephalus quadricornis",4694,4694,254529
"284",NA,NA,126124,"Scophthalmus",5114,5114,126124
"285",138267,"Dolichopus subciliatus",138267,"Eledone",4122,4122,138267
"286",82645,"Eledone",138267,"Eledone",4122,4122,138267
"287",NA,NA,106673,"Brachyura",5144,5144,106673
"288",NA,NA,123080,"Asteroidea",5145,5145,123080
"289",NA,NA,100635,"Polymorphus botulus",5161,5161,448883
"290",NA,NA,236461,"Scomberesox saurus saurus",5162,5162,236461
"291",NA,NA,129229,"Chaetopterus",5163,5163,129229
"292",NA,NA,107477,"Alpheus glaber",5166,5166,107477
"293",NA,NA,443,"Trochidae",5167,5167,443
"294",NA,NA,137735,"Cerastoderma",5168,5168,137735
"295",NA,NA,107358,"Pisa tetraodon",5169,5169,107358
"296",NA,NA,129196,"Laetmonice",5170,5170,129196
"297",NA,NA,107318,"Eurynome aspera",5171,5171,107318
"298",NA,NA,125366,"Eunicella verrucosa",5172,5172,125366
"299",NA,NA,105882,"Raja brachyura",5178,5178,271509
"300",NA,NA,138481,"Rossia",5179,5179,138481
"301",NA,NA,167578,"Clathria (Clathria) tenuifibra",5848,5848,167569
"302",NA,NA,117195,"Nemertesia",5188,5188,117195
"303",NA,NA,139523,"Dendronotus frondosus",5189,5189,139523
"304",NA,NA,146142,"Bryozoa",5190,5190,146142
"305",NA,NA,151616,"Mactra corallina",5857,5857,140299
"306",NA,NA,135301,"Cyanea capillata",5858,5858,135301
"307",NA,NA,140266,"Melarhaphe neritoides",5868,5868,140266
"308",NA,NA,140512,"Nassarius pygmaeus",5869,5869,876854
"309",NA,NA,153083,"Rossia palpebrosa",5203,5203,153083
"310",NA,NA,106669,"Dendrobranchiata",5204,5204,106669
"311",NA,NA,123177,"Spatangidae",5205,5205,123177
"312",NA,NA,110342,"Echiuroidea",5206,5206,110342
"313",NA,NA,110731,"Bugulidae",5207,5207,110731
"314",NA,NA,111361,"Eucratea loricata",5208,5208,111361
"315",NA,NA,123200,"Ophiuridae",5209,5209,123200
"316",NA,NA,106687,"Paguroidea",5210,5210,106687
"317",NA,NA,149684,"Lepas fascicularis",5211,5211,106148
"318",NA,NA,106215,"Balanus crenatus",5212,5212,106215
"319",NA,NA,123335,"Pteraster",5213,5213,123335
"320",NA,NA,134591,"Nymphon",5214,5214,134591
"321",NA,NA,106782,"Crangonidae",5215,5215,106782
"322",NA,NA,148531,"Pontophilus fasciatus",5216,5216,107559
"323",NA,NA,124670,"Thyone fusus",5217,5217,124670
"324",NA,NA,182884,"Sertella",5218,5218,110956
"325",NA,NA,141457,"Sepiola ligulata",5219,5219,141457
"326",NA,NA,141448,"Rondeletiola minor",5220,5220,141448
"327",NA,NA,107041,"Dichelopandalus",5221,5221,107041
"328",NA,NA,245736,"Ophiura sarsi",5222,5222,124934
"329",NA,NA,111411,"Membranipora membranacea",5223,5223,111411
"330",NA,NA,103743,"Corella parallelogramma",5224,5224,103743
"331",NA,NA,107052,"Pasiphaea",5225,5225,107052
"332",NA,NA,1128,"Euphausiacea",5238,5238,1128
"333",NA,NA,110749,"Flustridae",5239,5239,110749
"334",NA,NA,107148,"Galathea dispersa",5240,5240,107148
"335",NA,NA,107011,"Pontophilus",5241,5241,107011
"336",NA,NA,106702,"Portunoidea",5242,5242,106702
"337",NA,NA,106994,"Spirontocaris",5243,5243,106994
"338",NA,NA,123851,"Pontaster tenuispinus",5244,5244,123851
"339",NA,NA,531928,"Teredo norvagicus",5245,5245,181368
"340",NA,NA,103674,"Polyclinum aurantium",5246,5246,103674
"341",NA,NA,379749,"Leptasterias muelleri",5247,5247,125158
"342",NA,NA,124419,"Spatangus raschi",5248,5248,124419
"343",NA,NA,123987,"Asterina gibbosa",5249,5249,123987
"344",NA,NA,107643,"Dichelopandalus bonnieri",5250,5250,107643
"345",NA,NA,151894,"Euspira nitida",5251,5251,151894
"346",NA,NA,103926,"Styela canopus",5252,5252,103926
"347",NA,NA,138239,"Euspira",5253,5253,138239
"348",NA,NA,140733,"Ensis ensis",5254,5254,140733
"349",NA,NA,138675,"Acanthochitona crinita",5255,5255,138675
